symbol,expiration,strike,right,multiplier,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
AAPL,20220916,160,P,100,23.2,23.4,141.0585938,-0.714522644,0.012975386,0.328268222,22.90445995,-0.032974917,0.271758597
AAPL,20221021,125,P,100,7.05,7.15,140.8950043,-0.271388334,0.009152921,0.397137982,6.979358993,-0.037001344,0.298962003
AAPL,20221021,130,P,100,8.6,8.7,140.8701019,-0.322075666,0.01020241,0.385549745,8.571365486,-0.03855149,0.331305382
AAPL,20221021,135,P,100,10.45,10.55,140.8115997,-0.377674459,0.011194601,0.37397385,10.38467577,-0.039389091,0.352719502
AAPL,20221021,140,P,100,12.55,12.65,140.8486023,-0.436598725,0.012014662,0.362326152,12.43095626,-0.039235245,0.360788381
AAPL,20221021,145,P,100,15,15.1,140.8399963,-0.498740997,0.012528013,0.351900237,14.87234339,-0.03799732,0.368418082
AAPL,20221021,150,P,100,17.7,17.85,140.9799957,-0.560608925,0.012768033,0.341937382,17.51166931,-0.035949516,0.361597009
AAPL,20221021,155,P,100,20.75,20.95,140.9535065,-0.625030603,0.012707332,0.332401534,20.52707524,-0.032951169,0.340469015
AAPL,20221021,160,P,100,24.15,24.4,141.0780945,-0.685451408,0.012273848,0.32485933,23.78466059,-0.029500242,0.340515514
AAPL,20221118,125,P,100,7.9,8.05,140.9450073,-0.27736131,0.008626844,0.392767251,7.792667413,-0.033587186,0.323104497
AAPL,20221118,130,P,100,9.55,9.7,140.9550018,-0.325257215,0.009475894,0.383395758,9.506575112,-0.034834862,0.358229094
AAPL,20221118,135,P,100,11.4,11.6,140.9351044,-0.376548351,0.010300631,0.373082827,11.37073016,-0.035461421,0.381715322
AAPL,20221118,140,P,100,13.6,13.7,140.8798981,-0.431922848,0.011057209,0.36195871,13.43760618,-0.035326278,0.390595195
AAPL,20221118,145,P,100,16,16.2,140.8549957,-0.488995043,0.011489526,0.353240057,15.93643716,-0.034365103,0.399265464
AAPL,20221118,150,P,100,18.75,18.95,140.8399963,-0.547824756,0.011786969,0.343480632,18.60825979,-0.032630897,0.391993207
AAPL,20221118,155,P,100,21.75,22,140.8190002,-0.606839654,0.011803981,0.335952828,21.60288274,-0.030462646,0.369356788
AAPL,20221118,160,P,100,25.1,25.35,140.7505951,-0.665024925,0.011539049,0.327729077,24.9247436,-0.027332141,0.375099223
AAPL,20221216,125,P,100,8.45,8.65,140.6284943,-0.283709788,0.008319208,0.38540508,8.504827312,-0.030642,0.373854978
AAPL,20221216,130,P,100,10.15,10.35,140.6282043,-0.329832067,0.009102831,0.375861208,10.24252908,-0.031546913,0.383355317
AAPL,20221216,135,P,100,12.05,12.25,140.6300964,-0.378935288,0.00978074,0.368165372,12.23770343,-0.032133549,0.408483196
AAPL,20221216,140,P,100,14.25,14.45,140.6199951,-0.431179517,0.010487381,0.357197406,14.27375099,-0.031949449,0.418144078
AAPL,20221216,145,P,100,16.7,16.9,140.6298981,-0.484910348,0.010896887,0.348483512,16.75464311,-0.031009873,0.427588287
AAPL,20221216,150,P,100,19.4,19.6,140.6300049,-0.539942846,0.011152843,0.340762624,19.46943817,-0.029679156,0.41986623
AAPL,20221216,155,P,100,22.4,22.65,140.6629944,-0.597079423,0.011317114,0.330872261,22.27844229,-0.027592217,0.424121488
AAPL,20221216,160,P,100,25.7,26,140.6100006,-0.648515818,0.010993221,0.327706954,25.76779816,-0.025413497,0.401910662
